epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,450.312,0.6161,0.4147,0.00149,0.92785,0.93926,0.98124,0.89532,0.45422,0.28598,0.00146,0.000231213,0.000231213,0.000231213
89,455.235,0.62942,0.43856,0.00146,0.92356,0.93902,0.98142,0.88729,0.47481,0.28721,0.00152,0.00021471,0.00021471,0.00021471
90,460.279,0.60166,0.39355,0.00157,0.93472,0.94309,0.98208,0.89358,0.46828,0.28603,0.00148,0.000198206,0.000198206,0.000198206
91,467.537,0.57368,0.44677,0.00159,0.94729,0.93496,0.98248,0.89251,0.47188,0.28694,0.00152,0.000181703,0.000181703,0.000181703
92,472.291,0.54918,0.38478,0.00176,0.93475,0.92819,0.98258,0.88916,0.47873,0.29284,0.00153,0.0001652,0.0001652,0.0001652
93,477.144,0.53907,0.39311,0.00151,0.9409,0.92855,0.9827,0.88778,0.48099,0.29219,0.00152,0.000148696,0.000148696,0.000148696
94,482.291,0.54372,0.39428,0.00155,0.93532,0.93409,0.9827,0.88109,0.49194,0.29959,0.00156,0.000132193,0.000132193,0.000132193
95,487.266,0.54479,0.38743,0.00153,0.93198,0.9408,0.98287,0.87876,0.50832,0.29941,0.0016,0.00011569,0.00011569,0.00011569
96,492.059,0.56779,0.39506,0.00153,0.9372,0.94309,0.9832,0.87595,0.50696,0.29654,0.00161,9.91865e-05,9.91865e-05,9.91865e-05
97,497.017,0.56546,0.41386,0.00152,0.943,0.93902,0.98293,0.88126,0.488,0.29428,0.00158,8.26832e-05,8.26832e-05,8.26832e-05
98,502.047,0.5736,0.38374,0.0015,0.94651,0.94212,0.98264,0.88626,0.47168,0.28671,0.00154,6.61799e-05,6.61799e-05,6.61799e-05
99,506.885,0.53982,0.4619,0.00162,0.94426,0.93902,0.98252,0.88949,0.47082,0.28629,0.00154,4.96766e-05,4.96766e-05,4.96766e-05
100,511.831,0.59706,0.41564,0.00156,0.94144,0.93902,0.98256,0.88984,0.47138,0.2903,0.00154,3.31733e-05,3.31733e-05,3.31733e-05
